fid,name,ref,attendgru,function
45130803,castLiteral,casts the passed untypted literal to a boolean literal,casts the given literal to the given literal,"

 public Value castLiteral(Literal literal) throws IllegalCastException {
		if (!literal.getLabel().equalsIgnoreCase(""""true"""") && !literal.getLabel().equalsIgnoreCase(""""false"""")) {
			throw new IllegalCastException(""""Unable to cast string to boolean"""");
		}
		return this.factory.createLiteral(literal.getLabel(), SPARQLConstants.BOOLEAN_TYPE);
	} 
"
3934822,documentLoadingCompleted,called when the loading of a document was completed,called when a document loading is completed,"

 public void documentLoadingCompleted(SVGDocumentLoaderEvent e) {
		if (debug) {
			System.out.print(""""Document load completed in """");
			System.out.println((System.currentTimeMillis() - time) + """" ms"""");
		}

		setSVGDocument(e.getSVGDocument(), e.getSVGDocument().getURL(), e.getSVGDocument().getTitle());
	} 
"
46106919,update,updates the animated image every update interval ms,updates the current time in the current animation,"

 private void update() {
        currentTime = System.currentTimeMillis();
        if (currentTime - lastTime > updateInterval && running) {
            currentFrame++;
            lastTime = currentTime;

            if (currentFrame >= frames.size()) {
                currentFrame = 0;
                if (!isLoop)
                    running = false;
            }
        }
    } 
"
250694,getCollaborateCollection,returns the list of collaborate collections for the given user id,get a list of <UNK>,"

 public List getCollaborateCollection(String userID) throws AccessException {
		logger.debug(""""entering getCollaborateCollection()"""");
		String query = """"SELECT collection.PID PID, collection.TITLE TITLE, """"
				+ """" collectionrole.ROLE ROLE FROM collectionrole, collection WHERE """"
				+ """" collectionrole.USERID = '"""" + userID + """"'""""
				+ """" AND collectionrole.COLLECTIONPID = collection.PID""""
				+ """" AND collection.ROOT = '1'"""";
		List list = buildResult(query);
		return list;
	} 
"
51577053,addPKColumn,adds a primarykey column,this method was created in visual age,"

 public void addPKColumn(String aPKColName) throws IllegalArgumentException {
        Column col = (Column) colMap.get(aPKColName);
        if (col == null) {
            throw new IllegalArgumentException (""""The column |"""" + aPKColName
                    + """"| does not belong to the table |"""" + name + """"|"""");
        }
        pkColumns.add(col);
    } 
"
35061399,leaveAll,generate events to leave all components vertex edge or cell,leaves the <UNK> of the mouse event,"

 private void leaveAll( MouseEvent<? extends EventHandler> event ) {
		LocInfo locInfo = new LocInfo();
		assert( !locInfo.isVertexLocValid() );
		assert( !locInfo.isVerticalEdgeLocValid() );
		assert( !locInfo.isHorizontalEdgeLocValid() );
		assert( !locInfo.isCellLocValid() );
		handleLeaveEvents( locInfo, event );
		lastLocInfo.copy( locInfo );
	} 
"
42170923,addModePropertyDescriptor,this adds a property descriptor for the mode feature,this adds a property descriptor for the mode feature,"

 protected void addModePropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_OccursModel_mode_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_OccursModel_mode_feature"""", """"_UI_OccursModel_type""""),
				 TimeBasedRoutingPackage.Literals.OCCURS_MODEL__MODE,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.GENERIC_VALUE_IMAGE,
				 null,
				 null));
	} 
"
42171835,addUseCachePropertyDescriptor,this adds a property descriptor for the use cache feature,this adds a property descriptor for the use cache feature,"

 protected void addUseCachePropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_OpenQuery_useCache_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_OpenQuery_useCache_feature"""", """"_UI_OpenQuery_type""""),
				 ActionStepPackage.eINSTANCE.getOpenQuery_UseCache(),
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.BOOLEAN_VALUE_IMAGE,
				 null,
				 null));
	} 
"
42171903,addSessionVariablesPropertyDescriptor,this adds a property descriptor for the session variables feature,this adds a property descriptor for the session variable feature,"

 protected void addSessionVariablesPropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_SafletContext_sessionVariables_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_SafletContext_sessionVariables_feature"""", """"_UI_SafletContext_type""""),
				 SafletPackage.Literals.SAFLET_CONTEXT__SESSION_VARIABLES,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.GENERIC_VALUE_IMAGE,
				 null,
				 null));
	} 
"
42172736,addMaxPoolSizePropertyDescriptor,this adds a property descriptor for the max pool size feature,this adds a property descriptor for the max pool size feature,"

 protected void addMaxPoolSizePropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_DBConnection_maxPoolSize_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_DBConnection_maxPoolSize_feature"""", """"_UI_DBConnection_type""""),
				 DbPackage.Literals.DB_CONNECTION__MAX_POOL_SIZE,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.INTEGRAL_VALUE_IMAGE,
				 null,
				 null));
	} 
"
42172743,addMaxIdleTimePropertyDescriptor,this adds a property descriptor for the max idle time feature,this adds a property descriptor for the max idle time feature,"

 protected void addMaxIdleTimePropertyDescriptor(Object object) {
		itemPropertyDescriptors.add
			(createItemPropertyDescriptor
				(((ComposeableAdapterFactory)adapterFactory).getRootAdapterFactory(),
				 getResourceLocator(),
				 getString(""""_UI_DBConnection_maxIdleTime_feature""""),
				 getString(""""_UI_PropertyDescriptor_description"""", """"_UI_DBConnection_maxIdleTime_feature"""", """"_UI_DBConnection_type""""),
				 DbPackage.Literals.DB_CONNECTION__MAX_IDLE_TIME,
				 true,
				 false,
				 false,
				 ItemPropertyDescriptor.INTEGRAL_VALUE_IMAGE,
				 null,
				 null));
	} 
"
1118165,modifyRoleInCache,role user cache resource cache,modify the role in cache,"

 public void modifyRoleInCache(Role role, String orgRolename) {
		Set users = role.getUsers();
		for (Iterator iter = users.iterator(); iter.hasNext();) {
			User user = (User) iter.next();
			userDetailsInCache(user);
		}

		for (Iterator iter = role.getRescs().iterator(); iter.hasNext();) {
			Resource resource = (Resource) iter.next();
			resourceDetailsInCache(resource);
		}
	} 
"
19218425,getClassNameForLookAndFeel,may return null if no mapping for the name exists,look up look and feel name for look and feel,"

 public String getClassNameForLookAndFeel(String name) {
        if (lfNameToLookAndFeel.containsKey(name)) {
            UIManager.LookAndFeelInfo lookAndFeelInfo =
                    (UIManager.LookAndFeelInfo) lfNameToLookAndFeel.get(name);
            return lookAndFeelInfo.getClassName();
        }
        else {
            return null;
        }
    } 
"
34609355,getFastestGenerator,returns the fastest generator for the given language,returns the <UNK> generator for the specified locale,"

 public WordFormGenerator getFastestGenerator(final Locale locale) throws MorphologyException {
        if (locale == null) {
            throw new IllegalArgumentException(""""The 'loc' argument cannot be null."""");
        }
        WordFormGenerator component = (WordFormGenerator) fastestGenerators.get(locale);
        if (component == null) {
            throw new MorphologyException(""""Cannot find generator for locales : """" + locale.toString());
        }
        return component;
    } 
"
29591879,addCoordinateAxis,add a coordinate axis,adds a coordinate axis to the graph,"

 public CoordinateAxis addCoordinateAxis( VariableDS v) {
    if (v == null) return null;
    variables.remove( v); // remove by name if it exists
    coordAxes.remove( v);
    CoordinateAxis ca = (v instanceof CoordinateAxis) ? (CoordinateAxis) v : CoordinateAxis.factory(this, v);
    variables.add( ca);
    coordAxes.add( ca);
    return ca;
  } 
"
